quote,author,tags,tag_count,page,quote_length,word_count,has_multiple_tags,quote_length_group
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",4,1,115,21,True,Long
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",2,1,85,16,True,Medium
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, miracle",3,1,131,26,True,Long
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic",3,2,104,19,True,Medium
"“Imperfection is beauty, madness is genius and it’s better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",2,2,111,16,True,Medium
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",3,2,67,14,True,Medium
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",2,3,82,19,True,Medium
"“I have not failed. I’ve just found 10,000 ways that won’t work.”",Thomas A. Edison,"edison, failure, inspirational",3,3,65,12,True,Medium
“A woman is like a tea bag; you never know how strong it is until it’s in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,1,3,85,19,False,Medium
"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",3,4,50,9,True,Short
“This life is what you make it.”,Marilyn Monroe,life,1,4,32,7,False,Short
“It takes courage to grow up and become who you really are.”,E.E. Cummings,courage,1,4,60,12,False,Medium
